Matrix Size,Threshold(4),Threshold(8),Threshold(6),Threshold(32),Threshold(64),
534,366314,1.3351e+06,
535,371856,1.32853e+06,
536,375954,1.33548e+06,
537,376409,1.33806e+06,
538,377009,1.34211e+06,
539,378530,1.33596e+06,
540,383969,1.32877e+06,
541,385386,1.3251e+06,
542,384430,1.33454e+06,
543,384179,1.32408e+06,
544,389638,1.33123e+06,
545,393248,1.33358e+06,
546,394818,1.33629e+06,
547,395395,1.33231e+06,
548,398789,1.33557e+06,
549,401705,1.33221e+06,
550,404774,1.33189e+06,
551,402082,1.3277e+06,
552,407339,1.33841e+06,
553,412008,1.33884e+06,
554,412799,1.33121e+06,
555,407634,1.35267e+06,
556,414068,1.34357e+06,
557,421057,1.33606e+06,
558,423871,1.3388e+06,
559,422046,1.33602e+06,
560,423482,1.32809e+06,
561,424561,1.3297e+06,
562,427212,1.3331e+06,
563,428824,1.32943e+06,
564,432032,1.33125e+06,
565,435569,1.33633e+06,
566,438524,1.33419e+06,
567,443004,1.33724e+06,
568,442922,1.33316e+06,
569,447589,1.34075e+06,
570,447043,1.33498e+06,
571,451756,1.33408e+06,
572,455907,1.33545e+06,
573,454510,1.44878e+06,
574,456314,1.34264e+06,
575,462692,1.33305e+06,
576,460311,1.33203e+06,
577,467307,1.33598e+06,
578,466129,1.33529e+06,
579,470624,1.33532e+06,
580,471374,1.33231e+06,
581,476882,1.34127e+06,
582,478036,1.33854e+06,
583,481127,1.34256e+06,
584,483039,1.33624e+06,
585,487212,1.33176e+06,
586,489985,1.33571e+06,
587,493458,1.34141e+06,
588,493376,1.34509e+06,
589,496575,1.33383e+06,
590,499399,1.33377e+06,
591,501483,1.34523e+06,
592,502908,1.33229e+06,
593,503333,1.33886e+06,
594,505801,1.3355e+06,
595,510477,1.32626e+06,
596,513706,1.3399e+06,
597,515006,1.33404e+06,
598,520401,1.33165e+06,
599,519975,1.33369e+06,
