Size,Standard Multiplication,Multithraed Multiplication,Strassen Multiplication,
10,2.561,20951.5,72162.1,
11,3.2,6.082,857.201,
12,4.162,3.521,766.295,
13,4.801,5.442,686.914,
14,5.762,4.161,684.672,
15,14.404,6.722,697.156,
16,8.642,5.441,708.039,
17,10.563,7.362,679.551,
18,12.163,745.49,1506.34,
19,14.404,212.22,875.447,
20,19.206,225.023,909.696,
21,27.528,206.138,956.749,
22,29.768,225.663,880.888,
23,33.93,206.778,1681.11,
24,36.811,228.544,893.052,
25,40.972,207.098,846.638,
26,50.254,32.009,2717.88,
27,59.857,210.299,861.042,
28,59.857,222.782,1602.37,
29,64.978,236.867,926.02,
30,70.099,224.384,893.371,
31,72.341,217.021,929.542,
32,78.102,530.709,898.813,
33,87.705,1224.34,95.707,
34,96.347,236.546,232.065,
35,99.868,220.542,261.834,
36,108.511,233.345,234.626,
37,116.513,223.422,262.794,
38,124.515,236.867,237.826,
39,129.317,227.904,269.196,
40,144.681,737.487,1128.64,
41,154.604,238.147,279.119,
42,165.166,249.991,251.911,
43,171.569,241.028,297.683,
44,188.213,253.511,257.993,
45,195.575,244.548,288.721,
46,214.781,265.355,265.675,
47,222.143,281.039,308.887,
48,237.187,272.397,275.277,
49,251.59,256.712,306.646,
50,267.596,275.917,287.121,
51,281.999,299.284,394.351,
52,298.964,282.64,291.282,
53,316.889,273.037,345.697,
54,334.814,299.284,318.81,
55,359.141,291.923,347.618,
56,369.704,299.925,314.968,
57,390.829,292.563,350.498,
58,408.755,312.728,330.012,
59,434.042,306.006,914.817,
60,456.128,296.723,309.847,
61,483.976,319.13,377.386,
62,500.941,345.697,360.742,
63,531.03,331.934,395.632,
64,550.555,345.698,473.413,
65,605.93,362.662,941.385,
66,602.41,365.223,501.261,
67,633.138,357.86,547.354,
68,660.026,373.225,523.347,
69,690.114,369.064,579.683,
70,719.563,420.919,540.632,
71,750.611,388.27,586.085,
72,782.62,265.354,603.369,
73,820.391,393.711,618.734,
74,852.719,526.228,784.221,
75,886.009,430.521,657.465,
76,926.02,470.212,653.624,
77,971.153,442.364,680.191,
78,992.919,453.887,624.175,
79,1037.09,464.13,667.068,
80,1075.18,476.615,641.14,
81,1121.59,470.212,720.842,
82,1160.97,491.338,697.156,
83,1197.46,519.186,746.13,
84,1241.63,520.466,748.37,
85,1289.64,517.265,720.843,
86,1335.09,535.19,678.27,
87,1378.63,560.477,851.439,
88,1780.34,565.919,705.159,
89,1476.58,562.718,785.181,
90,1522.03,581.924,1161.93,
91,1577.4,595.367,825.833,
92,1623.82,611.051,817.51,
93,1677.27,607.531,862.963,
94,1734.57,821.351,856.881,
95,1803.39,660.666,885.049,
96,4947.63,695.236,1138.88,
97,1916.7,677.63,947.787,
98,1977.84,931.782,897.532,
99,2032.89,712.521,1250.91,
100,2106.83,755.732,936.583,
101,2160.93,734.607,966.671,
102,2580.57,755.732,1555.32,
103,2291.84,773.018,14474.2,
104,2364.19,820.711,985.237,
105,2426.28,1111.03,1112.63,
106,2501.82,829.033,1046.38,
107,2574.16,823.272,1114.23,
108,2634.66,914.177,1074.86,
109,3068.06,866.484,1182.41,
110,2781.9,712.521,926.661,
111,2868.33,726.924,1180.81,
112,3321.89,739.728,949.387,
113,3021.97,774.938,1094.39,
114,3107.43,813.669,1062.7,
115,3536.03,805.666,1354.94,
116,3578.29,822.311,1069.1,
117,3356.47,849.199,1120.64,
118,3441.61,878.007,1157.13,
119,13012.6,890.49,1162.25,
120,3631.1,931.142,1111.67,
121,3716.25,943.305,1271.72,
122,3800.75,969.873,1225.3,
123,4133,1053.74,1322.93,
124,4222.95,1052.78,1257.63,
125,4967.48,1106.55,1391.11,
126,4433.57,1121.92,1372.23,
127,4629.78,1085.43,1975.28,
128,4736.37,1103.67,2214.38,
129,4499.83,1153.28,2202.22,
130,4926.83,1202.58,2251.51,
131,5014.53,1192.02,2223.67,
132,4826,1211.22,2139.8,
133,5263.88,1310.45,2583.77,
134,5049.74,1277.8,2377.95,
135,5523.79,1580.93,2437.17,
136,5268.68,1321.33,2602.01,
137,5688.96,1363.26,2722.05,
138,5502.35,1382.47,2694.84,
139,5637.42,2078.02,2611.29,
140,5760.34,1441.69,2456.69,
141,5937.35,1498.34,2887.85,
142,5983.44,1830.28,2740.29,
143,6130.68,1741.29,2801.11,
144,6574.97,1632.46,3161.85,
145,6390.92,1640.14,3049.82,
146,6831.04,1662.87,3094.31,
147,6637.71,1671.83,3105.83,
148,7132.89,1756.97,3010.77,
149,6928.99,1766.58,3164.41,
150,7430.25,1802.11,3327.66,
151,7858.21,2129.56,3577.01,
152,7346.71,1844.04,3425.28,
153,7782.35,1919.58,3165.69,
154,7655.91,1934.63,3480.66,
155,8073.63,1962.79,3082.47,
156,8344.43,5425.21,3679.75,
157,8622.26,2073.86,3488.66,
158,46105.4,2101.71,4041.14,
159,8878.66,3240.91,3780.9,
160,8609.14,2153.57,3821.88,
161,9097.92,2220.14,3903.18,
162,9715.05,2554.32,3621.5,
163,9485.55,2359.38,3637.82,
164,9715.05,2314.89,3510.43,
165,9769.79,2668.91,3933.59,
166,9634.71,2417.32,3839.8,
167,9851.09,2706.04,4171.09,
168,9947.44,2483.9,4151.57,
169,10386.9,2910.26,3650.63,
170,10339.9,2935.23,3741.21,
171,10640.8,2644.9,3662.47,
172,10731.7,2650.99,3551.72,
173,10909.6,2952.51,4031.85,
174,11397.8,2802.07,3887.17,
175,11610.9,2867.69,4208.22,
176,11466.6,3199.62,3697.04,
177,11785.4,3451.21,4485.1,
178,12259.1,3215.95,4680.68,
179,12171.1,3044.06,4486.7,
180,12529.6,3045.98,4500.15,
181,12701.5,3839.48,4467.82,
182,13053.6,3188.1,4358.99,
183,13169.8,3474.26,4656.03,
184,13153.1,3243.15,4310.33,
185,13430.7,3360.95,5111.52,
186,13668.2,3419.2,4649.63,
187,14238.9,3411.84,4856.41,
188,14216.5,3701.84,4586.89,
189,14442.8,3559.72,5261,
190,14705.6,3596.53,4805.51,
191,15307.7,3954.07,4879.77,
192,15210.4,3705.68,4764.86,
193,15348,3885.25,5546.84,
194,15609.5,3825.4,5803.55,
195,16497.1,4042.1,5442.81,
196,16238.2,4055.22,6651.15,
197,16607.9,4240.55,5615.66,
198,16700.4,4498.23,5897.02,
199,16983,4574.41,6263.52,
200,17386.7,4312.25,5498.51,
201,17864.2,4389.39,5566.37,
202,18281,4562.56,5474.82,
203,17759.2,4651.23,5574.37,
204,18713.4,4457.25,5752.02,
205,18386.3,4834.64,6046.82,
206,18520.1,4904.74,6171.34,
207,19692.3,4713.65,5963.92,
208,20130.1,4822.8,6287.85,
209,19784.1,5242.44,6796.79,
210,20046.3,4903.46,6792.63,
211,20231.6,5260.36,6280.17,
212,20837.2,5309.33,6428.37,
213,21173.6,5371.43,6923.87,
214,21909.2,5728.33,6623.3,
215,22305.2,5287.57,6551.92,
216,21428.1,5258.12,7006.13,
217,22453.7,5569.57,6684.76,
218,22622,5900.54,6638.99,
219,22657.3,5563.81,6960.04,
220,24185,6065.71,6914.9,
221,24611.7,6019.29,7162.98,
222,23694.3,6230.23,6997.81,
223,24276.3,6334.58,7296.45,
224,25141.2,6090.03,6965.48,
225,26084.1,6524.71,7494.59,
226,25178.3,6225.43,8075.55,
227,25898.5,6212.95,7919.03,
228,26302.8,7522.76,7906.22,
229,25823.9,6341.62,8372.92,
230,27411.9,6961,8189.5,
231,27449.6,6986.6,7969.28,
232,28584.4,6956.84,8241.68,
233,28932.6,7124.88,8450.7,
234,28990.9,7348.95,8166.78,
235,29392.6,7478.58,8217.03,
236,30025.7,7625.18,8395.32,
237,30157.3,7793.23,8987.17,
238,29474.5,7155.29,8636.99,
239,31032.7,7564.05,8696.53,
240,31229.6,7972.8,8212.87,
241,31420.4,8008.97,9363.91,
242,31860.8,7944.31,9411.93,
243,31347.1,7662.63,9351.43,
244,32299.3,8202.95,9125.45,
245,32719.3,8445.9,9441.7,
246,34932.1,8306.98,9973.04,
247,34103.7,8586.09,9607.82,
248,35693.2,8647.87,9874.14,
249,33194,8234,10206.4,
250,34903.3,8950.68,10138.9,
251,35727.2,8584.82,10339.2,
252,35495.1,9275.57,9478.19,
253,36228.4,9413.53,13636.8,
254,35973,8916.43,14144.5,
255,36861.6,9214.43,13822.4,
256,37814.2,9117.45,14108.6,
257,38454.7,9793.47,16372.9,
258,38174.3,9392.4,16273.1,
259,39832.3,9943.6,16117.8,
260,39413,9896.86,16007.4,
261,40098.3,10050.5,15617.5,
262,41786.8,9947.76,16811.4,
263,41280.7,10302.4,16182.8,
264,42094.7,10413.5,16101.5,
265,42302.8,10711.2,16621.6,
266,43591.8,10835,17676,
267,42525.6,10909.6,17082.6,
268,43811.4,10763,17463.8,
269,45023.5,11210.5,17260.5,
270,44295.7,11550.4,17145.3,
271,44501.5,11216.9,17347.9,
272,47039.5,11500.2,16874.8,
273,46822.1,11900.9,19127,
274,47325,11871.2,18790.9,
275,49972.8,12278.7,19314.9,
276,48619.4,11905.7,20909.9,
277,49175.4,12180.7,19227.2,
278,49765.4,12840.7,18832.2,
279,50755.4,12910.2,18285.5,
280,51641.4,12873.4,19006.6,
281,52912.5,12889.7,20182.6,
282,52996,13192.8,18868.7,
283,53310.4,13246.3,19388.8,
284,53967.8,13462.3,18944.8,
285,54221,13289.2,19217.6,
286,55922.3,14681.2,19389.8,
287,55749.8,13957.2,19009.8,
288,55905.3,14588.4,19749.2,
289,56783.3,14760,20739.6,
290,57837.7,14604.4,20880.4,
291,59294.1,14754.5,21590.4,
292,59363.6,15026,22212,
293,59765,14973.2,20979,
294,59280,15035.6,22120.1,
295,60236.1,15229.6,22765.8,
296,61183,15321.4,22738.6,
297,61384,15395.7,23240.5,
298,63109.3,15663,23573.4,
299,64729.6,16174.8,23220.6,
300,63583.3,15492.4,23171,
301,66873.9,16556.7,23121.7,
302,66773,16598.6,22776,
303,68099.5,16765.7,22338.1,
304,67283.9,16560.2,22819.9,
305,68965.6,17399.1,22428.4,
306,68512.7,17052.5,23867.2,
307,69006.6,23634.8,23134.8,
308,70520.6,17626.1,22635.5,
309,71528,17967,22190.2,
310,71736,17973.4,22675.5,
311,72430.3,18632.1,22468.4,
312,72047.8,18127,23395.7,
313,74747.7,18686.9,23980.5,
314,74439.8,18525.2,25685.9,
315,75607.2,18725.6,25078.1,
316,75402.6,18456.1,24910.7,
317,76096.3,18929.2,24855,
318,78547.9,19508.2,24500.3,
319,78447.3,19470.4,24316.9,
320,78923.6,19587.3,23326.2,
321,78823.1,19600.1,27453.2,
322,79948.9,19840.5,29425.9,
323,83804,20691.9,27831.2,
324,84192.6,21076.6,27053.4,
325,84828.3,21356.7,28199.9,
326,83568.1,21104.2,27595.3,
327,86023.6,21395.5,27159.6,
328,87880.7,21758.4,25705.5,
329,85268.5,21370.8,27919.5,
330,88422.6,22073.4,28441,
331,89743.6,22574.3,28148.7,
332,90271.1,22119.2,28585.6,
333,90777.9,22787.2,28229.7,
334,91574.9,22712.6,27581.8,
335,92843.1,22742.4,27218.2,
336,92727.2,22913.6,28294.4,
337,95018.7,23696.6,26144.6,
338,95257.5,23775.6,25619.4,
339,94547.6,23365.3,25696.5,
340,96864.4,23859.2,26463.1,
341,96020.9,23911.4,26538.7,
342,97948.5,24130,26867.4,
343,98066,24351.2,27743.2,
344,99630.3,25149.8,25645,
345,99889.9,24777.2,27267.8,
346,100526,25136,26944.5,
347,101554,25283.3,27162.5,
348,103791,25697.8,27878.9,
349,103030,26389.8,27914.4,
350,105457,26235.5,28395.5,
351,105838,26794.1,27456.7,
352,106032,26880.5,27008.9,
353,105941,26693.3,30367.9,
354,108109,27111.3,30792.3,
355,108463,26938.8,30842.6,
356,109018,27314.9,30782.7,
357,111582,27386.3,31501,
358,113698,28112.2,30680,
359,113155,28085.3,30738.6,
360,115575,28486.7,30500.1,
361,114409,28369.6,33196.2,
362,115331,28527.1,32714.8,
363,117279,29320.6,32123.9,
364,119191,29682.3,33176.4,
365,119937,29582.4,31509.7,
366,120234,29986.4,31566.6,
367,119865,29981.2,31954.3,
368,122570,30448.2,32015.1,
369,121992,30293.6,33754.5,
370,123351,30388.4,33481.7,
371,125010,30995.6,33281.7,
372,126577,32000.4,33354.3,
373,127377,31501.3,34041.3,
374,128639,31827.2,34343.7,
375,129221,31902.7,33185.7,
376,129414,32449.1,33678.9,
377,131521,32847.3,35129.9,
378,131586,32817.6,34672.8,
379,133806,33704.5,35201.9,
380,132599,33079.1,35210.9,
381,136107,33891.8,36672.4,
382,137646,34083.8,35425.3,
383,137644,34159,35225.3,
384,139056,34593.4,34325.5,
385,139601,34811.4,37972.6,
386,140608,35501.2,40144.7,
387,142228,36016.9,37960.8,
388,143132,35913.8,38555.8,
389,144552,36106.8,37992.1,
390,145540,36331.5,37979.3,
391,147175,36698.6,38003.6,
392,148757,36921.1,37553,
393,149516,37053.3,38973.2,
394,150385,38481.9,39128.4,
395,153158,37922.7,39255.8,
396,154363,38561.6,38528.6,
397,154582,39096.4,38811.6,
398,155643,38977.7,39368.8,
399,156988,40253.2,39759,
400,158269,39693.4,38352.5,
401,159843,39761.3,40373,
402,159490,40858.5,40127.4,
403,162139,41993.6,40086.5,
404,162524,40436.3,40478.9,
405,164277,41083.6,39812.2,
406,166148,41299.9,40420.6,
407,166502,41810.5,40437,
408,167503,41987.2,39957.2,
409,167969,42162.6,42303.7,
410,170326,42393.4,42122.6,
411,171699,43158.4,41536.2,
412,172982,43715,43924,
413,173239,43416.1,41539.7,
414,173920,43655.8,41916.1,
415,175369,44201.9,42227.9,
416,178212,44582.1,41520.2,
417,177311,44665.4,45648.7,
418,181258,44988.7,45521.3,
419,183214,45245,46009.7,
420,182878,45908.9,46103.2,
421,184247,46081.8,45037.3,
422,184437,46182.3,45289.9,
423,186586,46888.1,45279.3,
424,188194,47306.7,45274.5,
425,189408,47427.7,48165.5,
426,190737,48385.8,47213.6,
427,191098,47815.4,47589.7,
428,193000,48466.8,47057.7,
429,195032,49090.6,47786.2,
430,196426,49492.6,47559.3,
431,196693,49311.8,47537.5,
432,198843,51002.5,46232.5,
433,200171,50244.5,48568.5,
434,201191,50692.3,48247.2,
435,203747,51223,50437.5,
436,203127,51448.1,48504.5,
437,208673,51623.8,48467.7,
438,207236,51901,48806,
439,210291,52863.5,48598.6,
440,211185,53073.8,47740.5,
441,212532,53395.2,50301.5,
442,212962,54167.9,50039,
443,215056,54223.6,50305.7,
444,214587,54254,50316.2,
445,216236,54447.3,50143.4,
446,218991,55326.6,49970.5,
447,219973,55568.9,50631.5,
448,220326,55722.2,49474.7,
449,222542,56279.8,54861.5,
450,225020,56978.3,54841.7,
451,225798,57297.7,55828.2,
452,227040,57257.4,55214.3,
453,229761,58122.3,54902.5,
454,231716,58554.4,54842.6,
455,232634,59258.3,55297.2,
456,234002,59380.9,56231.2,
457,237124,59379.3,56666.5,
458,237765,60344,56785.6,
459,240121,60901.6,56538.8,
460,242261,61457.9,56761.9,
461,242519,61122.2,56685.1,
462,242835,61812.3,56807.3,
463,246660,62570.2,56633.5,
464,246693,62143.9,55713.3,
465,247759,62756.9,59912.2,
466,257774,64772.1,58162,
467,250715,63032.4,58836.4,
468,252383,63745,58083.5,
469,255679,65221.9,58429.6,
470,255934,64965.2,59595,
471,257101,65375.5,58321,
472,259157,66213.8,57901.4,
473,262632,66202.3,60183.6,
474,261805,67248.4,59898.4,
475,264851,66918.7,60776.8,
476,268572,68038,60288.6,
477,268888,69111.6,60761.1,
478,270114,69041.5,60103.9,
479,272104,69490.9,60680.1,
480,275884,69447.1,59351.1,
481,274336,69482.6,65555.7,
482,278440,70312.9,65125.5,
483,279887,70812.2,64760.9,
484,280729,71726.1,67072,
485,282082,71600.6,65652.7,
486,284138,72207.2,64893.5,
487,286882,72087.5,66077.5,
488,287151,73403,64652.4,
489,290052,73771.8,67323.9,
490,291297,73740.1,68340.5,
491,291675,73849.9,68848.8,
492,294246,75204.5,67959.6,
493,296966,75230.8,72183.8,
494,298590,76122.2,67941,
495,301826,75962.8,67708,
496,301897,77120.3,67322,
497,302810,76888.5,70779.6,
498,306404,77971.4,69601,
499,303999,77434.9,70019.7,
500,305465,77829.9,69737.7,
501,310181,78368.9,69688.1,
502,313701,79328.2,70813.5,
503,315084,80003.9,69205.4,
504,318194,82469.9,69583.7,
505,319896,81448.2,103077,
506,320595,82781,100022,
507,321840,82209,100060,
508,319023,81786.5,101157,
509,322002,81680.6,100870,
510,324021,82741.7,101214,
511,329182,83351.8,101391,
512,331263,84363.9,99026.3,
513,331781,84356.5,113154,
514,330808,84151,112118,
515,339890,86789.9,113789,
516,340047,87276.4,112514,
517,343363,87535.3,113745,
518,344664,87772.2,112324,
519,346770,88250.4,115246,
520,348980,89230.2,111970,
521,350244,90114.3,112233,
522,352870,90509.9,113982,
523,356349,91011.8,113182,
524,356993,91065.3,112007,
525,359741,91434.4,111659,
526,360680,92891.1,114471,
527,363166,92683.4,111905,
528,366109,93765.3,111367,
529,368479,93730,121275,
530,371032,95852.9,123094,
531,373216,95173.6,125458,
532,375100,95582.7,121679,
533,376952,96279.6,122792,
534,380109,97349.9,122685,
535,381347,97743.7,121586,
536,383513,97884.2,124291,
537,385665,98314.7,122390,
538,387074,98670,122872,
539,390513,99152.4,121540,
540,390882,100350,123845,
541,395545,100692,122656,
542,395471,101027,121463,
543,397702,100803,122950,
544,399534,102908,122558,
545,403219,103059,133179,
546,404915,103184,130780,
547,406409,104431,137039,
548,411476,105195,136178,
549,412167,105035,132954,
550,410893,104798,132575,
551,417207,106826,130400,
552,420131,107199,137537,
553,421980,107502,140238,
554,423215,107662,137354,
555,424525,109421,132146,
556,427797,109215,131820,
