Matrix Size,Naive Multiplication,OpenCV Multiplication,OpenMP Multiplication,Strassen Multiplication,
142,5433.21,1945.19,1813.63,2498.62,
143,5544.28,8951.64,1536.43,2827.68,
144,5664.31,2204.78,1791.22,2613.22,
145,5920.71,2460.85,1629.58,2729.09,
146,6171.98,2187.81,1917.34,2821.59,
147,6052.26,2244.15,1970.15,2827.68,
148,18531,2259.2,1985.84,2726.85,
149,6294.25,2292.17,1748.33,2989.32,
150,6409.48,2356.18,1775.22,3134,
151,6537.2,2452.21,1806.91,2857.12,
152,6674.84,2487.74,1845.64,2924.66,
153,6803.83,2485.5,1885.01,3034.13,
154,6957.8,2533.83,1926.62,3481.94,
155,7083.91,2590.17,1960.55,4027.05,
156,7217.07,2612.89,2317.13,3059.1,
157,7367.19,2686.2,2044.73,3263.64,
158,7639.27,2772.62,2088.91,3287.97,
159,7729.21,2788.95,2115.8,3206.66,
160,7863.01,2819.35,2286.4,3184.26,
161,7968.96,2901.3,2204.78,3586.93,
162,8091.24,2956.99,2250.87,3953.43,
163,8439.17,3311.65,2285.44,3520.35,
164,8483.67,3087.27,2310.41,3549.8,
165,8634.75,3093.35,2369.31,3718.49,
166,8721.17,3174.97,2420.84,4814.79,
167,8844.09,3293.41,2645.86,3738.65,
168,9107.2,3288.28,2490.62,3655.11,
169,9298.62,3329.9,2594.65,4256.24,
170,9352.39,3504.02,2605.85,3803.31,
171,9620.95,3460.81,2643.62,3839.48,
172,9685.28,3497.3,3021.97,3521.95,
173,9861.33,3569.64,2765.9,3804.91,
174,10016.9,3641.34,2797.27,4054.26,
175,10172.8,3821.24,3013.65,3677.51,
176,10479.4,3742.81,2858.4,5013.25,
177,10536.1,3852.28,2944.83,4151.89,
178,10814.6,3889.41,3011.09,4393.56,
179,10893,4016.17,3030.61,4083.07,
180,11166.7,3999.84,3145.52,4401.24,
181,11302.4,4660.83,3150.01,4894.82,
182,11475.5,4161.81,3479.38,4264.24,
183,11705.1,4231.27,3305.57,4612.82,
