Size of Matrix,Dynamic Single Array : +,Dynamic Double Array : +,Vector : +,Dynamic Single Array : x,Dynamic Double Array : x,Vector : x,
479,149,329,308,198159,194560,202027,
480,142,322,343,203611,196714,201547,
481,147,347,301,203591,201805,204138,
482,178,338,362,206133,199954,204160,
483,310,395,278,214283,209694,221430,
484,243,408,344,238169,217790,216583,
485,145,347,267,208398,202040,208113,
486,178,343,301,208872,203274,208398,
487,141,306,274,209795,206553,211881,
488,147,321,321,214902,208425,214535,
489,138,322,300,213498,209374,218498,
490,188,346,338,217448,209329,215013,
491,147,322,306,217299,211114,217430,
492,149,324,337,219790,213144,219096,
493,145,308,380,221427,214834,217884,
494,145,312,321,219530,215330,222172,
495,192,362,339,222146,217449,222003,
496,208,376,413,222577,218054,222972,
497,179,355,351,223391,218014,223243,
498,177,346,354,226379,219372,227211,
499,167,378,276,227153,220367,226191,
