Matrix Size,Standard Sum,OpenMP Sum,Multithraed Sum,Standard Multiplication,OpenMP Multiplication,Multithraed Multiplication,
123,24.647,8.642,724.683,3978.72,997.721,966.352,
124,24.967,8.643,751.252,4492.14,1054.7,1122.23,
125,25.288,9.283,701.957,4335.94,1103.35,1164.49,
126,25.927,9.283,734.286,4292.73,1083.82,1156.49,
127,26.568,8.962,696.516,4713.01,1093.75,1132.16,
128,26.248,9.282,723.084,4406.36,1107.51,1133.12,
129,27.208,9.602,704.518,4507.51,1148.48,1092.47,
130,27.527,9.603,716.041,5097.11,1170.89,1182.73,
131,28.488,9.603,684.033,4724.53,1190.73,1110.39,
132,29.768,9.602,738.768,4843.92,1206.74,1055.34,
133,29.128,9.603,733.646,5158.89,1262.44,1108.15,
134,29.128,9.603,705.478,5061.58,1282.28,1485.22,
135,30.088,10.243,711.88,5200.5,1295.72,1177.61,
136,30.409,10.243,746.129,5733.45,1326.13,1256.67,
137,30.729,10.243,698.757,5744.02,1369.03,1116.47,
138,31.049,10.243,722.444,5615.02,1401.03,1363.58,
139,31.689,10.883,7040.7,5653.43,1801.15,1206.74,
140,32.329,10.883,720.202,5764.18,1436.88,1184.65,
141,33.29,11.203,719.882,5900.54,1506.34,1134.72,
142,32.649,10.883,681.151,6238.88,1525.87,1588.29,
143,33.61,11.203,686.593,6487.9,1534.51,1232.99,
144,33.61,11.203,711.56,6278.89,1920.86,1227.23,
145,34.25,11.524,705.478,6805.11,16618.1,7829.72,
146,35.21,59.216,3037.33,7193.06,1652.63,1346.62,
147,35.21,11.523,743.249,7053.5,1699.04,1273.32,
148,35.85,11.843,693.315,6835.52,1709.92,1298.6,
149,35.85,11.843,688.514,6945.95,1771.38,1254.11,
150,37.13,12.163,727.884,7106.64,1790.26,1337.66,
151,37.45,11.843,1027.17,7186.66,1787.06,1344.06,
152,37.771,11.843,737.807,7774.35,1843.4,1478.18,
153,39.051,12.163,701.958,7886.38,1915.74,1277.8,
154,38.411,11.844,700.677,8034.26,1937.51,1517.23,
155,39.371,12.484,732.366,8073.63,1976.88,1342.46,
156,24633.8,32.009,857.201,8666.76,1990.64,1445.53,
157,40.331,12.804,733.006,8459.98,2070.02,1414.48,
158,40.331,13.124,707.399,8709.97,2367.07,1393.03,
159,40.972,12.804,693.956,8837.69,2102.35,1521.07,
160,41.932,12.804,742.288,8967.32,2144.6,1572.28,
161,42.252,13.124,695.876,9097.6,2229.43,1432.4,
162,43.852,13.444,712.2,9251.56,2263.04,1547.64,
163,43.212,13.764,705.158,9456.74,2291.2,1448.73,
164,43.532,13.443,724.684,9255.08,2315.53,1567.16,
165,43.853,13.764,918.339,9429.21,2403.56,1493.86,
166,45.133,14.084,741.008,9684.64,2516.55,1921.18,
167,45.132,13.764,741.008,9925.03,2796.95,1656.47,
168,45.773,14.084,749.011,10351.1,2505.34,1629.58,
169,46.413,14.404,730.766,10798.9,2613.53,1709.6,
170,47.053,14.404,737.807,10501.5,2617.06,1719.52,
171,47.374,14.725,730.125,10843.4,2729.09,1741.93,
172,48.014,14.404,913.217,10804.6,2673.71,2000.24,
173,48.334,14.404,761.814,10898.4,3020.69,1701.92,
174,49.614,15.044,747.73,11430.7,2779.66,1708.32,
175,49.294,15.044,735.247,11588.2,2799.19,1716,
176,50.254,15.044,751.251,11794.7,2843.04,1787.38,
177,50.254,15.364,757.653,11759.1,3224.27,1767.22,
178,51.215,15.044,746.45,12110.9,2962.75,1799.55,
179,51.855,15.685,755.092,12363.5,2996.04,1767.54,
180,52.815,15.685,780.38,12398.7,3329.9,1934.3,
181,52.495,15.685,713.16,12744.4,3239.31,1804.03,
182,53.775,16.324,723.403,12908.3,3168.25,1946.15,
183,54.095,16.325,768.536,12874,3589.81,1869.33,
184,55.055,16.005,722.123,13442.5,3237.71,2038.65,
185,55.055,16.325,736.527,13624.6,3658.31,1927.9,
186,56.016,16.645,727.885,13960.1,3397.12,2066.18,
187,56.016,16.964,737.168,14106,3490.9,2363.54,
188,57.616,17.285,713.161,14332,3456.65,2039.93,
189,57.616,16.965,743.249,14516.7,3572.52,2312.97,
190,58.576,17.285,722.124,14766.7,3597.81,8495.19,
191,59.537,17.925,740.368,14933.8,3774.82,2040.25,
192,59.537,17.605,723.724,15213.6,3678.79,2419.56,
193,59.857,17.605,882.489,15518.6,3805.87,2102.99,
194,60.818,17.926,736.207,15653.4,4042.74,2191.02,
195,61.777,17.925,752.852,16081,3928.78,2298.25,
196,62.418,18.246,809.188,16398.9,3990.56,2444.85,
197,62.737,18.565,724.044,16731.1,4297.53,2384.35,
198,63.377,18.565,734.607,16916.1,4159.89,2501.18,
199,63.698,18.886,712.52,17045.8,4165.65,2325.77,
200,64.979,18.885,770.777,17331.9,4409.56,2543.75,
201,65.298,19.205,722.764,17646.6,4350.34,2513.67,
202,65.939,19.205,757.013,17868.4,4387.79,2638.82,
203,67.219,38.09,827.112,18035.8,4394.84,2440.37,
204,67.219,19.526,787.742,18141.1,4455.65,2388.83,
205,67.539,20.166,767.896,18546.3,4780.22,2432.04,
206,69.14,20.165,766.615,18752.5,4817.68,2536.39,
207,70.099,19.846,730.766,19144.3,4849.68,2618.66,
208,70.42,20.486,735.567,19263.7,4709.17,2914.42,
209,71.06,20.165,786.461,19586.9,4812.87,2807.83,
210,72.02,20.806,778.459,19911.8,4884.25,2503.42,
211,71.7,21.126,801.505,20922.4,5152.81,3347.82,
212,72.661,21.126,771.737,20398.4,4979,2929.78,
213,72.34,21.126,776.218,21218.1,5219.71,3217.23,
214,73.301,21.446,761.814,20994.1,5278.6,2756.94,
215,73.301,21.446,785.821,21495.6,5476.1,2964.35,
216,75.221,21.766,773.338,21667.9,5457.21,2881.45,
217,75.221,22.086,785.181,22809.9,5577.89,3327.34,
218,75.861,21.766,799.584,22261,5479.62,2876.01,
219,77.462,22.086,892.411,23061.5,5729.29,3442.57,
220,78.422,22.407,778.459,23101.2,5786.27,3069.98,
221,78.742,22.726,775.258,23771.2,6137.73,3449.61,
222,80.343,22.727,772.698,23665.5,5891.9,3042.78,
223,79.382,23.046,814.309,24661,6054.82,3668.23,
224,81.303,23.046,791.583,24115.6,6134.53,3113.84,
225,80.662,23.367,825.832,25573,6276.33,3682,
226,81.623,23.686,763.415,24869.4,6229.91,3177.53,
227,82.583,23.367,827.433,26346.3,6492.39,4082.75,
228,108.83,24.007,794.783,25308.2,6412.36,3138.48,
229,84.184,23.366,770.457,25785.2,6357.95,3105.51,
230,85.464,24.647,772.697,27903.5,7307.34,4495.67,
231,84.504,24.967,764.695,27923.4,6822.72,4021.29,
232,87.065,24.967,795.423,28362.5,7008.37,4478.06,
233,86.424,24.647,994.519,28655.4,7194.66,4322.18,
234,88.985,25.287,773.657,29109,7360.15,4472.94,
235,88.985,25.287,780.7,29238.3,7241.4,4296.89,
236,88.985,25.607,783.9,28074.1,6869.45,3507.87,
237,89.945,25.927,791.262,28874,7370.71,3690.64,
238,92.186,25.928,786.781,30731.2,7615.26,4622.42,
239,90.905,25.927,787.741,30931.6,7617.82,4507.51,
240,93.146,26.248,795.744,30778.9,7510.59,4419.48,
241,92.506,26.568,787.742,31421,7749.38,4339.14,
242,94.427,26.888,829.033,31823.7,7811.48,4523.51,
243,95.067,26.888,860.082,31417.8,7718.01,4150.93,
244,95.386,26.887,783.261,31101.9,7833.56,3791.79,
245,96.987,27.847,819.43,32526.3,7998.41,4395.8,
246,97.628,27.208,822.951,32946.5,8040.02,4538.88,
247,98.588,28.168,781.66,33296.1,8208.71,4465.58,
248,97.948,27.527,781.019,33250,8076.19,4365.39,
249,100.508,28.168,1009.24,33483.7,8288.73,4233.19,
250,98.908,27.848,813.028,34562,8517.6,4486.7,
251,101.149,76.502,783.58,36332.1,8470.22,4204.38,
252,103.389,29.448,836.075,36054.6,8989.09,5461.06,
253,101.789,28.808,842.157,35359.7,8852.09,4138.12,
254,104.35,28.808,817.189,35845,8909.39,4285.04,
255,104.99,29.768,1056.62,38421.7,9384.08,5775.71,
256,104.989,28.808,840.556,38417.5,9493.23,5661.11,
257,105.95,29.449,939.464,37080.5,9163.54,4351.3,
258,105.949,29.449,795.103,37736.7,9346.31,4447.01,
259,106.59,29.128,1013.09,38802.3,9607.5,4791.75,
260,109.15,30.089,813.029,39114,9580.29,4836.56,
261,110.431,30.408,809.187,39592.6,9821.32,5074.39,
262,109.15,30.729,825.193,39998.5,9914.47,5023.81,
263,111.392,30.409,869.364,41065,10158.4,5230.91,
264,110.751,31.369,889.21,41196.9,10123.2,4980.6,
265,112.032,30.729,823.591,42878.3,10728.5,6151.17,
266,112.671,31.369,859.761,42183.7,10375.7,5154.73,
267,211.26,31.369,802.786,42584.5,10525.2,5211.39,
268,114.272,31.689,819.75,43766.2,10637.6,5546.84,
269,114.913,32.009,854.32,44620.6,11244.8,6050.98,
270,115.552,32.329,829.993,44636.9,11127.3,5509.07,
271,116.833,32.649,849.839,45033.8,11230.4,5424.57,
272,118.753,51.214,839.276,45287.3,11147.8,5453.37,
273,118.754,32.969,1079.02,47486.3,11845.6,7075.91,
274,119.073,33.289,813.989,46565.7,11564.5,6057.7,
275,120.354,33.289,861.682,48098.6,11941,6732.13,
276,121.314,33.609,809.828,49206.8,12131.7,7257.08,
277,122.915,33.609,858.802,49092.5,12482.2,6996.53,
278,123.555,34.25,838.316,49989.1,12435.5,6685.72,
279,124.835,50.254,1625.42,50325.2,12591.1,6902.42,
280,126.116,34.57,863.603,51691,12764.2,7448.82,
281,125.796,34.57,883.769,51414.5,13049.1,7048.7,
282,126.756,35.53,820.39,53047.2,13098.1,7067.59,
283,127.716,35.209,870.645,53463.4,13214.3,7596.7,
284,127.715,35.21,992.6,53763.3,13439.3,7290.37,
285,129.636,35.53,818.15,53746.6,13344.2,7489.79,
286,129.637,36.17,815.909,55252.7,13713,7418.73,
287,131.236,35.85,818.79,55401.5,13749.8,7508.99,
288,131.557,36.49,820.071,56290.4,13904.7,7952,
289,133.157,37.131,834.155,56336.2,14171.3,7764.74,
290,133.478,36.81,811.428,57563.1,14359.6,7983.69,
