Matrix Size,Standard Sum,OpenMP Sum,Multithraed Sum,Standard Multiplication,OpenMP Multiplication,Multithraed Multiplication,
485,370.665,97.627,1229.79,281563,74013.8,40942.4,
486,372.584,98.588,1224.34,282779,71760.7,41096.7,
487,378.347,98.908,1098.23,282434,71765.5,40258.4,
488,378.986,98.908,1176.33,286650,72805.8,42119.7,
489,383.148,98.907,1207.06,287920,72959.7,41835.4,
490,379.307,99.548,1144.64,290468,73605.7,42230.1,
491,380.587,99.548,1227.23,289784,73606.3,41597,
492,381.547,100.188,1128.32,292886,74190.1,43003.5,
493,382.827,100.508,1207.38,295338,74898.5,42752.2,
494,382.828,100.828,1079.66,294932,75263.7,42915.1,
495,387.629,101.149,1144.32,296554,75788.7,44554.6,
496,391.79,102.109,1063.02,300370,76031,43740,
497,386.669,102.108,1445.21,302020,76582.5,44146.8,
498,389.229,102.749,1100.79,303258,77293.4,44156.4,
499,391.791,103.389,1297.65,305910,78131.1,44296.9,
500,400.433,104.03,1158.73,305499,77298.9,43234.9,
