Matrix Size,Threshold(4),Threshold(8),Threshold(6),Threshold(32),Threshold(64),
199,9962,9872,9819,10046,9866,
200,9867,9998,9758,9916,9880,
201,9871,10343,9929,9783,10057,
202,10041,9797,9841,10157,9883,
203,9942,9825,11485,9926,9841,
204,10062,9941,9842,9905,9871,
205,10032,9939,9839,9836,9907,
206,9919,9897,9935,9830,10176,
207,10205,9945,9923,10304,9925,
208,9973,9920,9846,9921,9842,
209,10009,9883,9810,9885,9888,
210,9880,9961,9849,9870,9987,
211,9955,9882,9942,10045,10004,
212,9976,9895,9916,9911,10905,
213,10017,9908,9846,9929,9822,
214,9966,9916,9844,9925,9911,
215,10007,9946,10263,9801,9876,
216,10193,9902,9962,9871,10234,
217,10062,9840,10005,9912,9991,
218,10202,9931,9846,9905,9842,
219,10015,10709,9894,9834,9916,
220,9983,9960,10086,9960,9944,
221,10195,9839,9940,10134,9868,
222,10097,9914,9880,9934,9854,
223,10168,9926,9920,9914,9938,
224,9864,9930,9917,9800,9909,
225,9905,9794,9904,9927,9906,
226,10139,9819,9902,10100,9933,
227,10138,9892,9828,9940,9809,
228,9925,9907,9871,9959,9873,
229,9950,9879,9988,9787,10035,
230,10172,9924,9881,9941,9892,
231,10008,9818,9944,9862,10859,
232,10036,9932,9844,9975,9937,
233,9942,9960,9865,9859,10073,
234,9884,9896,9973,9820,9844,
235,10008,9858,9957,9891,9906,
236,10337,9920,9870,10182,9832,
237,10247,10089,9792,9923,9939,
238,9964,9866,10125,9805,9875,
239,10160,9847,9904,9897,9939,
240,9974,9791,10086,9921,9832,
241,10037,9917,9835,9949,9891,
242,9903,9927,9794,9875,9891,
243,9957,9929,9952,9822,9939,
244,10014,9861,9913,9966,9847,
245,9952,9762,9864,9990,9807,
246,10061,9934,9825,10168,9917,
247,9857,9907,9857,9781,9905,
248,9952,9870,9867,9887,10059,
249,10006,10349,10017,9888,9820,
250,10003,9905,9835,11275,10025,
251,10028,9949,9938,9842,9950,
252,10019,9846,10028,9802,9902,
253,10020,9902,9917,9854,9841,
254,10177,10023,9852,10000,9859,
255,9899,9929,9802,9900,10148,
256,9934,10154,9884,9818,9850,
257,70950,70332,70563,70072,70097,
258,70422,70157,70516,69856,70128,
259,71246,69831,69906,69870,70350,
260,70641,70214,70674,69770,69759,
261,70468,70236,70492,69923,69942,
262,71281,69907,69723,70371,70151,
263,70732,70273,69946,69805,69826,
264,70560,70296,69845,70140,70761,
265,70581,69868,70029,69821,70247,
266,70438,75442,70200,70061,69760,
267,70537,70377,70005,69686,69781,
268,70373,70417,69877,70186,70384,
269,71651,69915,69870,69770,69801,
270,70978,70393,69762,69776,69730,
271,70674,69720,69942,69706,70180,
272,70791,69877,70030,70083,69922,
273,70792,70211,70229,69855,69852,
274,70256,70521,69988,70874,69725,
275,70463,69810,73261,69846,71277,
276,74177,71295,70894,71737,71089,
277,71290,71488,70136,70959,73862,
278,72775,70609,70643,69919,70506,
279,93620,70736,69926,69861,69629,
280,70652,80009,70735,71304,73319,
281,75681,71141,71315,70004,70142,
282,71057,70094,70047,70339,69926,
283,70921,70031,71017,70087,70079,
284,71149,70017,70040,69929,70160,
285,72980,70611,70051,70210,71025,
286,70667,70116,70043,70136,71253,
287,70850,69994,70184,70305,70251,
288,70825,70113,70214,70079,70139,
289,70697,70222,70563,70596,70241,
290,70635,70378,70073,70644,70023,
291,70844,70749,70061,70530,70169,
292,70836,70103,70249,71285,70059,
293,70943,70170,70079,70153,69986,
294,71986,71124,70005,70738,70062,
295,70492,70254,70193,70143,70020,
296,71011,70153,70023,69985,70094,
297,72322,69964,70040,70139,70520,
298,70959,70154,70165,70018,70041,
299,70791,70179,70766,70079,71458,
300,71364,70717,70149,70074,70124,
301,70802,70496,70005,70101,70072,
302,70657,70871,70385,70221,70071,
303,70770,70251,70151,70280,70177,
304,98997,82694,80379,81741,80832,
305,81982,85951,74750,73608,72794,
306,74434,72962,72548,73503,72667,
307,74701,72511,72980,73124,73079,
308,73895,74980,72814,80507,76432,
309,74850,74467,74455,73363,75446,
310,74135,199903,73571,74463,78659,
311,74991,72485,72680,73705,72128,
312,73362,73607,73067,73658,71475,
313,73229,72137,72136,97026,76055,
314,70800,69706,69861,69966,70464,
315,70887,69821,70176,69977,69682,
316,70134,70455,70227,70137,69748,
317,70790,69740,70195,70061,72996,
318,71612,70681,71176,69800,70017,
319,70405,101046,70571,69926,69853,
320,70510,69846,70522,70103,69920,
321,70655,70096,69910,70048,69671,
322,71006,69699,69842,70078,69797,
323,70610,81901,70869,72323,74093,
324,74857,70254,71392,70332,70333,
325,70657,70153,70155,70152,70304,
326,71398,70381,70181,70153,70417,
327,70965,70015,70229,70274,70372,
328,70848,70033,70128,70026,70097,
329,71292,71053,70087,70188,70143,
330,70732,70116,70321,70874,70015,
331,70786,70296,70158,70195,70050,
332,70700,70417,70310,70248,69999,
333,70835,70330,70522,70262,70004,
334,71190,70173,70191,70151,70978,
335,70611,70930,70682,70076,70121,
336,70772,69973,69954,70085,70133,
337,70822,70200,70100,70148,69916,
338,70870,70331,70155,70255,70375,
339,70837,70022,70090,70215,70367,
340,70798,70501,70082,70171,70297,
341,70892,82262,90350,83321,81855,
342,80886,80770,81221,81744,73815,
343,74341,72381,73406,73175,72502,
344,73615,72447,73484,72351,73937,
345,73144,73317,73173,73752,72493,
346,73853,72902,73637,72593,72207,
347,73430,72493,73888,71954,72913,
348,74201,72848,72481,72964,72720,
349,74971,72512,72618,73390,72369,
350,74121,72844,72827,73205,72892,
351,74821,72492,72640,73668,73267,
352,75208,71763,72852,72396,72034,
353,73293,73190,72798,72631,73448,
354,73273,73911,72726,72447,73848,
355,73541,72930,72254,72579,73156,
356,74252,73392,72828,72327,73353,
357,73203,73106,73577,72601,72325,
358,74137,72234,73095,72883,72806,
359,73368,76326,73763,72361,73142,
360,73721,73259,73617,72530,72586,
361,73139,72482,73154,72366,72692,
362,73822,72678,73642,72540,73897,
363,74007,72622,72725,73329,73186,
364,73933,72372,72433,73320,72469,
365,73987,72295,73354,73690,72718,
366,73130,72618,72467,73315,72366,
367,73990,73237,72363,72713,73183,
368,73789,73700,72715,72773,73562,
369,73424,73688,72267,73182,73497,
370,73334,73250,72510,72979,73497,
371,73820,73641,72483,72615,73774,
372,73334,73075,73553,73140,73592,
373,73246,73244,73482,72575,74918,
374,73517,72961,73348,72528,72557,
375,73248,72837,79444,84732,74540,
376,74669,74749,73221,74663,74422,
377,74948,73330,73109,72322,74555,
378,73331,73601,72393,72799,73672,
379,73123,73101,73119,73261,72503,
380,73690,73935,72716,72364,73063,
381,74495,72643,72207,73499,73614,
382,73180,73568,72423,72541,73855,
383,73765,74023,72756,72908,72963,
384,73742,73015,72693,72735,73266,
385,73153,72570,73694,72800,73088,
386,73106,72986,73237,72308,72821,
387,73205,73124,73661,72565,72566,
388,73236,72561,74023,72691,72974,
389,74281,73238,73254,72439,72635,
390,73893,72543,72963,73223,72353,
391,77106,72635,74269,72881,72550,
