Size,Standard Multiplication,Strassen Multiplication,
267,42583.2,50868.7,
268,42559.8,50717.3,
269,43233.9,50834.1,
270,44337.3,50229.8,
271,45472.3,50826.8,
272,44780,52923.7,
273,45244.1,55362.1,
274,45775.1,55417.2,
275,47668.8,55157.9,
276,47674.2,55309.6,
277,48447.9,57010.3,
278,49310.5,55151.5,
279,49726.9,55437,
280,50748,55258.7,
281,51556.3,61850.7,
282,52134,60342.1,
283,52801.1,60256.9,
284,53252.1,59800.8,
285,53462.4,59935.3,
286,53823.8,59937.8,
287,54803.6,59423.8,
288,55675.8,59981.7,
289,55739.5,64601.9,
290,57222.5,64833,
291,56225.1,64864.3,
292,58422.2,64609.9,
293,58198.8,64726.4,
294,58802.8,64717.7,
295,60104.3,64704,
296,59546,64202.1,
297,60517.5,69250.8,
298,62027.7,70047.9,
299,61924,69198,
300,62407.3,69583.7,
301,63329.5,68916.3,
302,64533,69301.1,
303,64322.4,69345.6,
304,65152.7,68954.4,
305,66677.6,75127.7,
306,66007.7,74827.1,
307,67901,74924.4,
308,69492.8,74641.8,
309,69526.8,74281.7,
310,71775.4,74720.5,
311,71660.8,74967,
312,70871.1,74078.8,
313,72113.7,80376.2,
314,73642.5,80145.4,
315,73889.3,80068.3,
316,74958.4,80077.9,
317,75495.1,79866.3,
318,76381.5,79688.3,
319,76907.1,80010.7,
320,76644.9,79392.6,
321,78605.5,86350.4,
322,78838.2,86236.4,
323,81707.8,86249.2,
324,80564.4,86158,
325,82740.1,86054.6,
326,82342.5,86095.3,
327,84398.5,87102.6,
328,85286.4,86126,
329,86214,92562.7,
330,86811.6,92352.4,
331,86143.3,92598.5,
332,88540.4,93191,
333,88761.3,92188.5,
334,90590.6,92214.7,
335,89901.8,93065.2,
336,92488.7,92036.1,
337,91585.8,98872,
338,94727.4,98464.2,
339,91589.6,98660.7,
340,91967.3,99144.4,
341,94135.9,98736.3,
342,95971.6,98621.3,
343,96428.7,99983.3,
344,98741.4,98108.2,
345,97566,105675,
346,98561.2,105642,
347,100891,112962,
348,101508,105391,
349,101746,105220,
350,102267,105417,
351,103865,105389,
352,105590,104934,
353,104563,112206,
354,106799,113329,
355,106992,113212,
356,109546,112368,
357,109325,113053,
358,110319,112035,
359,111474,112742,
360,110644,112666,
361,113973,119597,
362,115512,120179,
363,114667,120279,
364,117420,121492,
365,117147,118758,
366,120424,119065,
367,119369,122179,
368,121299,119186,
369,122158,126869,
370,121871,127202,
371,123388,127004,
372,125911,127030,
373,124886,126773,
374,127882,126779,
375,127673,128227,
376,128996,127477,
377,129588,134525,
378,130413,134392,
379,132988,134871,
380,133230,134264,
381,133967,134703,
382,136192,135204,
383,136556,136031,
384,137000,134407,
385,138510,144402,
386,138662,142821,
387,140263,143090,
388,143590,144625,
389,143482,142753,
390,143167,143286,
391,145787,142947,
392,146893,142787,
393,147880,151454,
394,147771,152154,
395,149664,151901,
396,151721,152935,
397,152949,152655,
398,154769,153650,
399,154676,153349,
400,157046,152342,
401,158521,161736,
402,158751,161379,
403,161320,162041,
404,161067,161530,
405,160724,160804,
406,162584,161582,
407,163826,163208,
