Threshold,MatrixSize(64),MatrixSize(128),MatrixSize(256),MatrixSize(512),MatrixSize(1024),MatrixSize(2048),
1,13795.2,92017.6,643001,4.37398e+06,3.06615e+07,2.9879e+07,
2,13394.8,85967.9,602020,4.32196e+06,2.97591e+07,2.97333e+07,
4,12294.6,86394.3,602178,4.32501e+06,2.98031e+07,2.97953e+07,
8,12252.7,85831.3,604079,4.32434e+06,2.99449e+07,2.97211e+07,
16,12558.1,86295.1,603878,4.34063e+06,2.98779e+07,2.98382e+07,
32,12119.2,86277.8,602316,4.31693e+06,2.97259e+07,2.97234e+07,
64,187.572,87328.6,603939,4.3312e+06,2.97852e+07,2.97659e+07,
128,207.737,1656.46,603487,4.28786e+06,2.97585e+07,2.97991e+07,
