Size,Standard Multiplication,Multithraed Multiplication,Strassen Multiplication,
201,17564.2,4546.23,5703.35,
202,17831.8,4600.64,5608.92,
203,17874.7,4533.74,5937.33,
204,17979.4,4431.31,5821.46,
205,18227.2,4553.27,6284.95,
206,18863.2,4646.09,5950.14,
207,18779.9,4824.06,5728.31,
208,19289.5,4743.72,5713.27,
209,20369.5,4957.22,6269.27,
210,19577.6,4885.2,6419.71,
211,20050.7,5038.84,7291.63,
212,20093.9,5004.91,6602.8,
213,20426.5,5181.6,6848.31,
214,20937.3,5220.65,6729.23,
215,21161.4,5432.55,6544.22,
216,21418.8,5571.79,6619.12,
217,21689.2,5462,6792.29,
218,22702,5591,7000.67,
219,23217.7,5834.26,6832.62,
220,23921.2,6496.85,7970.86,
221,24128.3,6098.34,7487.2,
222,24301.8,6181.88,7057.96,
223,24880.2,6277.27,7478.56,
224,24120,6109.86,6853.75,
225,25266.9,6328.48,7648.85,
226,25634,6404.98,7749.68,
227,26201.5,6636.73,7893.08,
228,26621.8,6562.79,7588.99,
229,26734.2,6883.52,7806.33,
230,27021.9,6894.72,7924.77,
231,28080.8,6902.08,8285.19,
232,28587.5,7241.06,7923.81,
233,28848.7,7319.48,8019.19,
234,29048.7,7372.61,8060.16,
235,28517.1,7144.39,8256.7,
236,28764.2,7196.88,7889.24,
237,29218.1,7299.63,8627.68,
238,30078.5,7456.48,8664.81,
239,30028.2,7648.53,8652.01,
240,30682.8,7631.56,8354.01,
241,29895.7,7597.63,9122.86,
242,31691.4,7847.94,9485.84,
243,30973.7,7628.36,9090.53,
244,32647.8,8212.21,8855.26,
245,31303.1,7847.94,9747.35,
246,33236.8,8355.93,9909.64,
247,34146.5,8496.13,9565.86,
248,33959.9,8688.18,9197.76,
249,34355.5,8650.09,10171.2,
250,34116.7,8567.5,10376,
251,34778,8599.19,9804.65,
252,34843.9,8753.48,9853.94,
253,35788.8,9142.07,14450.7,
254,36380.4,9041.24,14205.9,
255,37080.4,9361.33,14561.2,
256,37002.9,12460.7,14528.2,
257,37865.3,9506.33,16259.6,
258,38019.2,9502.49,16760.8,
259,38656.2,10338.9,17840.8,
260,39577.4,9861.95,16455.8,
261,40093.1,10058.8,16745.1,
262,40991.6,9975.58,16534.5,
263,41511.1,10421.5,16659,
264,41581.5,10511.4,16225.3,
265,41565.5,10366.1,17362,
266,42448.3,10697.1,16981.4,
267,42724.2,11892.6,17614.5,
268,42814.8,10805.2,16790.9,
269,43474.5,10961.8,17505,
270,44631,11012.7,16925.7,
271,44573.4,11124.4,16856.9,
272,45035.6,11182.6,19074.8,
273,46068.8,11542.7,18834.4,
274,46874.5,11821.5,18224.6,
275,47743.2,12045,18743.8,
276,49868,12490.5,18952.8,
277,49355.5,12699.2,16982.6,
278,49926.2,12586.2,17739.7,
279,50137.5,12527.3,18575.7,
280,50979.3,12743.7,16853.3,
281,53547.4,13440.2,19702.1,
282,51765.1,12819.2,20227.7,
283,52831.3,13285.9,18065.8,
284,53402.1,14736.3,20338.5,
285,55171.8,13804.2,18769.7,
286,54884.4,13739.8,20075,
287,54736.2,13797.4,18777.7,
288,55580.6,13933.5,19733.8,
289,56402.3,14327.2,19420.8,
290,56907,14222.8,21477.7,
291,56184.3,14068.9,21629.1,
292,59345.2,14802.2,21657.2,
293,59969.3,15098.3,20810.3,
294,59503.9,14910.7,21667.2,
295,60341.9,15718.6,21986.6,
296,61202.6,15225.7,19224.9,
297,62676.3,15766,22268.6,
298,62960.2,15758,23010.6,
299,62144,15675.1,22264.8,
300,64818.4,16204.5,22997.8,
301,63505.4,16051.8,21955.2,
302,65044.3,16319.4,21627.5,
303,66324.7,16958.6,21561.8,
304,65101.6,17075.8,23143.4,
305,67423.3,16898.1,21963.6,
306,67742.7,16965,21859.2,
307,67662.4,16914.8,21938.3,
308,69041,17439.4,22106.6,
309,70493.9,17388.5,21261.9,
310,70855.3,17648.4,22108.6,
311,71685.2,17937.5,22302.5,
312,71636.3,18073.2,22534.6,
313,72495.4,18718.2,23731.4,
314,74042.1,18522.3,23090.9,
315,75572.4,18761.1,23139.2,
316,75045.2,19110.3,22666.5,
317,75802.9,19083.4,22578.4,
318,77165.8,19268.1,23136.4,
319,76952.3,19327.9,22504.2,
320,77837.4,19315.1,23625.1,
321,78682.7,20193.8,27749.5,
322,79626.6,19816.7,25900.7,
323,80972.3,20419.1,25031.3,
324,81255.3,20203.7,25303,
325,83768.9,20948.9,26143.3,
326,82779.2,20918.1,25785.4,
327,85006.4,21279.2,24815.5,
328,85802.4,21512.9,24471.8,
329,85394.7,21375.2,28061.9,
330,87980,22227.6,25710.2,
331,88056.2,22042,27103.5,
332,88669.5,22154,26229.7,
333,89726.4,22474.4,26327.6,
334,91454.3,22976.6,26103.3,
335,90794.9,23221.5,28252,
336,92593.5,23153.6,26240.6,
337,93126.4,23489.7,27214.3,
338,93664.8,23609.5,26470.7,
339,93914.5,23527.5,26363.5,
340,94303.1,23385.7,26424,
341,95440,23842.8,26726.2,
342,95436.2,25161.9,26869.2,
343,96391.6,24013.7,26409.6,
344,98079.8,24324.5,25845.6,
345,98986.3,24849.2,28444.7,
346,99789.4,25075.8,27752.7,
347,100426,24997,28213.3,
348,99993.9,24837,27747.2,
349,103014,25699,28099,
350,101873,25562,27843,
351,105322,26260.8,27570.6,
352,105439,26255.3,27203.7,
353,105549,26467.5,30308,
354,105479,26403.8,29802.5,
355,109631,27381.4,30192.7,
356,111095,27691.6,30364.3,
357,111089,27759.4,30174.5,
358,112939,28329.5,30317.6,
359,113330,28324.7,30127.4,
360,113992,28387.7,31916.7,
361,115268,28698.2,31536.8,
362,116479,29039.1,30964.5,
363,117824,29434.1,32471.1,
364,117516,29237.9,31973.1,
365,118599,29550.3,31683.7,
366,117640,29294.2,31616.8,
367,119437,29833.3,32052.8,
368,120579,29725.7,31299.9,
369,120879,30162.3,32718.9,
370,124109,30941.7,32715.7,
371,122066,31622.9,33111.9,
372,122915,30867.5,32610.4,
373,126039,31154.9,32861.3,
374,126978,31604.3,32619.6,
375,126333,31903.3,33162.5,
376,127834,32751.2,33057.8,
377,129147,32143.7,34608.7,
378,130859,32545.4,34509.1,
379,131746,32820,34765.2,
380,132972,32870.9,34737,
381,134249,33587.9,34860.3,
382,134226,33636.9,35156.7,
383,136602,34010.4,34497.6,
384,136820,34132.7,34678.5,
385,138332,34503.7,37660.1,
386,138763,34676.9,37713.2,
387,142009,35548.1,37980.2,
388,142621,35634.2,37894.4,
389,143604,35827.9,38018.6,
390,145399,36066.4,39383.1,
391,145862,36697.6,38376.1,
392,146114,36308.3,36998.1,
393,147879,36703.3,39171.9,
394,148473,37672.2,38670.9,
395,150283,37649.2,39050.2,
396,152279,37989.5,39380.9,
397,154461,38536.8,39252.8,
398,153637,39308.2,39095.7,
399,154453,39464.1,39162.6,
400,156807,39926,38777.5,
401,157268,39357.2,39760.5,
402,158620,39838.6,39881.8,
403,159919,41221.1,40136.9,
404,161175,41208,40014,
405,161745,41745.1,39862.6,
406,162698,41846.2,39789.3,
407,165579,41442.3,40531.6,
408,165933,41466.3,39144.3,
409,166546,41835,41582.8,
410,169560,42635.9,41779.3,
411,169575,42642.6,41775.2,
412,171041,42860.9,41570.6,
413,171294,43565.1,41462.1,
414,173837,43676.8,41932.3,
415,176036,43878.5,41481.9,
416,176231,44348.3,40979.7,
417,177348,44591.9,45490.7,
418,178565,44789.1,46911,
419,180343,45029.2,45654,
420,182971,45499.7,45526.9,
421,182523,45945,45214.2,
422,183786,46406.2,45138,
423,185230,46541,45436.3,
424,186286,46752.5,45015.7,
425,187877,47199.1,48559.4,
426,189575,47854,47080,
427,190018,48270.7,47065.9,
